stand,age,plot,status,filename,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
RPL65,53,RPL13,planted,RPL13.CSV,15.31378215,0.981360723,0.963068869,15.34440993,40,15.125,5.739667137,1.202294814,18.682,17.02285,6.270688745,2.608681059,0,0,0.6675,8.349812305,2.332885489,1.705126857,1.036452444,13.78585691,2.787428851,6.565229642,93.43477036,18.682,355.025,1.975,0.718813998,9.073608618
RPL65,53,RPL13,planted,RPL13EW.CSV,13.90001978,1.578679712,2.492229635,13.98715388,40,13.475,5.936026564,2.286947355,18.763,15.807475,5.177945348,2.207014836,0,0,0.675,13.17878714,2.999924761,2.044318608,1.774672595,12.61987841,2.405171134,17.54733219,82.45266781,18.763,290.625,2.325,0.696499966,10.36174126
RPL65,53,RPL14,planted,RPL14EW.CSV,16.85420772,0.907212906,0.823035256,16.87799684,40,16.525,5.131050242,1.198021874,20.415,18.5134,4.47188288,1.947698775,0,0,0.720238095,4.626097214,1.678230747,1.345228149,1.170473054,15.88723942,1.874437292,22.6045209,77.3954791,20.415,375.05,2.1,0.559503285,8.214338837
RPL65,53,RPL14,planted,RPL14NS.CSV,15.06381945,2.995574628,8.973467351,15.35147508,40,14.5,5.88036846,3.210559501,20.178,17.078625,4.916243214,2.322939133,1,0.025,0.728571429,12.39417723,2.529368891,2.448769127,3.132957247,14.33068944,2.623235899,17.30518234,82.69481766,20.178,325.75,2.875,0.708814698,9.4619585
RPL65,52,RPL15,planted,RPL15EW.CSV,16.51603894,2.777318665,7.713498969,16.74216843,40,15.825,8,4.193324977,22.171,18.882125,5.39902077,2.401873278,0,0,0.692391304,155.0831936,5.529213388,11.1584494,2.923321234,15.00751102,4.135107164,14.78547855,85.21452145,22.171,416.75,2.725,0.725272991,11.7829925
RPL65,52,RPL15,planted,RPL15NS.CSV,17.16288728,3.723914997,13.86754291,17.55236605,40,16.825,5.488894434,4.217712954,22.421,19.522575,4.292999036,1.729363839,1,0.025,0.706521739,19.63960449,3.302514538,2.955165345,3.626251394,15.62130802,3.49845816,27.20102163,72.79897837,22.421,332.925,2.975,0.757612589,11.83057449
RPL53,65,RPL07,planted,RPLmid1EW.CSV,17.11840147,2.601341957,6.766979977,17.3100397,40,16.85,2.484682007,4.311879833,22.503,20.918025,2.938439079,0.842276904,0,0,0.622916667,178.5503472,7.680023452,10.93469647,0.932692504,16.23032286,3.860941405,32.47337927,67.52662073,22.503,638.725,1.75,0.682658789,11.90227066
RPL53,65,RPL07,planted,RPLmid1SN.CSV,17.78704069,1.052979709,1.108766267,17.81740339,40,18.125,4.358947257,1.712510528,21.881,20.62735,3.721696354,1.110546825,0,0,0.626086957,23.81595628,4.226420979,2.439943029,0.691113244,16.80145732,2.494686073,23.15067111,76.84932889,21.881,495.575,1.575,0.672251883,10.56382789
RPL53,65,RPL08,planted,RPLmid2EW.CSV,17.67495497,1.215862638,1.478321954,17.71568224,40,17.85,4.101438222,1.687814548,22.083,20.31175,3.833411517,1.281500402,0,0,0.640217391,18.37652008,3.746345713,2.08360598,0.984984518,16.91102181,2.22764819,22.94911243,77.05088757,22.083,528.25,1.625,0.682032545,10.23647575
RPL53,65,RPL08,planted,RPLmid2SN.CSV,17.34024464,1.304491074,1.701696962,17.38801998,40,17.575,3.004403895,1.906634839,23.407,20.077825,4.606640292,1.453241978,0,0,0.6375,31.1233113,4.664694001,3.060055748,1.319333202,15.85453479,2.860346639,16.63703205,83.36296795,23.407,520.35,1.675,0.486110735,11.33508049
RPL53,65,RPL09,planted,RPLmid3EW.CSV,16.419083,2.271098447,5.157888157,16.57151857,40,15.625,4.503724283,4.09932765,21.08,19.796875,3.370519963,1.090967552,0,0,0.644318182,186.2330311,7.046487233,11.68674671,0.746516979,15.30903997,4.086295283,26.58043274,73.41956726,21.08,531.625,1.575,0.489620313,10.19554584
RPL53,65,RPL09,planted,RPLmid3SN.CSV,17.03801446,0.991731815,0.983531993,17.06613255,40,16.425,3.08258554,2.297015901,22.371,20.630275,3.608228262,1.019766569,0,0,0.590217391,35.70487762,5.404877094,2.547975907,0.887211824,16.14431145,2.641818862,23.93738234,76.06261766,22.371,504.775,1.525,0.812933011,11.32231339
RPL58,60,RPL04,planted,RPLT1EW.CSV,16.99639069,1.305259244,1.703701693,17.04518717,40,16.325,3.766027499,2.65433849,21.842,20.2267,4.184241278,1.270693627,0,0,0.617391304,29.56876659,4.704874823,2.72633811,0.759024009,16.10664227,2.638301261,18.16991562,81.83008438,21.842,515.675,1.675,0.865466335,10.89361702
RPL58,60,RPL04,planted,RPLT1SN.CSV,17.01460817,1.246595798,1.554001083,17.05907507,40,16.675,2.791934646,2.080279814,21.965,20.235425,3.848745836,1.066429081,0,0,0.613043478,18.53793268,4.039667535,1.489637165,0.814371801,16.20178505,2.304425919,20.91988131,79.08011869,21.965,505.625,1.675,0.634705655,10.35255677
RPL58,60,RPL05,planted,RPLT2EW.CSV,19.77256655,1.365857936,1.865567901,19.81850944,40,19.45,3.076869471,2.111628367,24.347,22.907175,2.786740242,0.831267966,0,0,0.64,38.60980032,4.794411514,3.952647032,0.990532048,18.90626146,2.656745559,33.21853783,66.78146217,24.347,508.275,1.85,0.544215338,11.8986412
RPL58,60,RPL05,planted,RPLT2SN.CSV,19.21292056,1.904291656,3.62632671,19.30471406,40,18.9,2.349887751,2.447395266,24.704,22.388125,1.910116328,0.647775637,0,0,0.679807692,25.6172115,4.389622421,2.519608404,1.498863436,18.4975123,2.819893733,44.49677389,55.50322611,24.704,530.95,1.775,0.629174467,11.73056173
RPL58,60,RPL06,planted,RPLT3EW.CSV,13.66595879,6.647262364,44.18609693,15.16047078,40,13.275,3.699985655,6.656354203,24.428,15.775725,1.864709501,0.670414819,7,0.175,0.788,17.03593567,2.96572657,2.870609966,7.837256084,15.37605682,2.967332575,62.81879739,37.18120261,24.428,616.7,4.375,0.843234205,12.16017316
RPL58,60,RPL06,planted,RPLT3SN.CSV,17.51456839,1.748046738,3.055667397,17.59941424,40,17.525,4.660459873,2.640779799,23.278,21.142875,5.734109706,1.856177954,0,0,0.577083333,107.2380937,7.873372042,6.726671271,1.559764186,15.29175268,3.501461525,9.527056646,90.47294335,23.278,513.4,2.45,0.558515504,13.26968282
