plot,tag,species,azimuth,distance_m,status,dbh18,dbh17,growth5mm
BP36#2,3697,POGR,265,11.5,C,28.7,29.2,4.937
BP36#2,3733,POGR,200,12,D,26.7,28.7,
BP36#2,3769,POGR,135,7.5,C,13.9,13.9,4.984
BP36#2,3793,POGR,65,14,C,23.6,24.3,4.474
BP36#2,3800,POGR,35,9,C,18.7,19.3,4.355
BP36#2,3724,POGR,220,17,D,24.9,26.2,4.159
BP54#1,2014,POGR,354,8.5,C,15.7,15.9,3.387
BP54#1,2519,POGR,37,5.5,C,13.3,13.4,2.712
BP54#1,3079,POGR,234,13,C,12.6,12.5,1.96
BP54#1,3279,POGR,102,10.5,C,24.2,25.6,8.593
BP54#1,3286,POGR,94,5.5,C,15.8,16.4,3.032
BP54#2,3019,POGR,160,9,C,16,16.3,6.781
BP54#2,3208,POGR,58,14.5,C,13.8,14.1,3.166
BP54#2,3244,POGR,308,4,C,13.5,14.4,1.744
BP80#1,1123.5,POGR,290,14.5,C,10.9,11,3.479
BP80#1,1346.5,POGR,302,15.5,C,12.4,12.5,5.636
BP80#1,1475.5,POGR,352,10,C,10.9,11.6,4.859
BP80#1,2906,POGR,279,10.5,C,9.5,10,4.718
BP80#1,3106,POGR,117,7,C,13.7,14.8,10.382
BP80#1,3130,POGR,38,14.5,C,15.6,16.8,10.064
BP80#1,3200,POGR,0,11.5,C,11.1,12,5.118
BP80#1,3307,POGR,16,16.5,C,8.5,8.5,1.364
BP80#1,4372,POGR,254,12.5,C,9.1,9.2,3.508
BP80#2,3417,POGR,175,5.5,C,13.1,13.7,5.139
BP80#2,3433,POGR,160,7,C,10.6,11.1,1.809
BP80#2,3512,POGR,115,13,C,12.9,13.3,5.215
BP80#2,3518,POGR,97,16.5,C,9.5,9.1,2.451
BP80#2,3524,POGR,85,12,C,9.7,10.2,4.231
BP80#2,3531,POGR,75,8,C,8.8,9.3,4.416
BP80#2,3889,POGR,302,10,C,13.8,16,7.679
BP80#2,3895,POGR,224,12.5,C,9.8,10.6,4.302
BP80#2,4000,POGR,30,9,C,11,11.6,8.452
BP80#3,3319,POGR,198,14,C,16.4,17.5,8.66
BP80#3,3354,POGR,320,16,C,10.7,11.3,3.854
BP80#3,3356,POGR,307,7,C,17.7,18.6,7.976
BP80#3,3357,POGR,300,7.5,C,13.3,13.2,5.229
BP80#3,3820,POGR,115,17.5,C,12,13,6.974
BP80#3,3826,POGR,140,2.5,C,9.3,10.1,3.148
BP80#3,3833,POGR,97,17.5,C,10.4,10.9,2.684
BP80#3,3840,POGR,103,10,C,13.1,15.9,5.301
BP80#3,3891,POGR,17,11.5,C,12.4,13.7,
BP98#1,575,POGR,230,10.5,D,10.6,11.8,9.321
BP98#1,586,POGR,240,4,C,8.6,9.5,7.609
BP98#1,587,POGR,189,9,C,9.9,11.2,7.65
BP98#1,2711,POGR,206,7,D,9.2,10.6,11.012
BP98#1,2713,POGR,263,7.5,C,8.7,9.5,6.828
BP98#1,2751,POGR,227,5.5,D,10.7,12.2,9.281
BS40E,1919,POGR,240,5.5,C,26,26.6,7.088
BS40E,1921,POGR,258,6,C,19.4,19.1,
BS40E,1968,POGR,92,6.5,C,36,35.6,9.854
BS40F,1024,POGR,317,9,C,49.2,50.3,8.014
BS40F,1042,POGR,232,16.5,C,42.9,43.9,5.912
BS40X,2944,POGR,48,14,C,24,24.5,5.211
BS40X,2989,POGR,148,13.5,C,29,29.1,9.239
DNR1,2435,POGR,195,17.5,C,10.4,11.2,6.575
DNR1,2442,POGR,200,13,C,11,11,5.637
DNR1,2456,POGR,275,13,C,8.1,9.2,7.693
DNR1,2475,POGR,325,6.5,C,10.5,10.9,4.753
DNR2,2073,POGR,25,12.5,D,12.6,13.9,
DNR2,2093,POGR,55,15.5,C,12.8,13.3,
DNR2,2133,POGR,155,13.5,O,9.6,9.5,
DNR2,2157,POGR,260,13,C,9.3,9.2,6.394
DNR2,2173,POGR,285,8,C,11.1,11.7,7.353
DNR2,2129,POGR,145,17.5,C,8.4,9.3,4.513
DNR3,2238,POGR,340,17,O,8.7,8.5,
DNR3,2243,POGR,350,18,C,10.1,10.8,
DNR3,2264,POGR,205,14,D,20.5,21.9,15.684
DNR3,2307,POGR,25,13,D,13.6,13.2,11.133
DNR3,2335,POGR,60,14,C,8.3,8.5,3.254
DNR3,2337,POGR,60,9,C,9.3,9.6,5.463
PSA1,2211,POGR,0,8,C,14.4,15.1,3.697
PSA1,2528,POGR,25,13.5,O,8.5,8.1,2.009
PSA1,2540,POGR,45,13.5,C,12,13.5,6.876
PSA1,3971,POGR,125,16.5,O,8.2,8.3,2.509
PSA2,2589,POGR,25,16,C,19.7,20.9,8.444
PSA2,2604,POGR,200,14.5,C,11.3,11.9,3.492
PSA2,2617,POGR,195,6,C,18.5,20,7.72
PSA2,2654,POGR,125,10,C,11.2,11.7,
PSA2,2665,POGR,115,17.5,C,11.8,11.2,4.128
PSA2,2677,POGR,95,18,C,13.1,13.6,6.533
PSA3,1570,POGR,15,10,C,13.1,14.1,
PSA3,1631,POGR,245,9,D,13,14.2,4.306
PSA3,1633,POGR,235,11.5,D,12.5,13.8,4.563
PSA3,1648,POGR,150,15,C,15.1,15.4,
PSA3,1650,POGR,140,16.5,D,16.1,17.5,9.27
PSA3,1976,POGR,260,18,O,8.9,8.5,0.843
PSA3,1997,POGR,250,15,D,19.5,20.3,6.711
BP98#1,2710,POGR,236,11,C,8.2,10,8.553
BP98#1,,POGR,,,C,,9.2,9.181
BP98#1,,POGR,,,C,,8.6,10.03
BP98#1,,POGR,,,C,,9,7.897
BP98_2,B,POGR,,,C,,8,3.822
BP98_2,C,POGR,,,C,,8,3.839
BP98_2,,POGR,,,C,,9.6,8.685
BP98_2,,POGR,,,C,,9.8,9.08
BP98_2,,POGR,,,C,,9.5,9.841
BP98_2,,POGR,,,C,,10.1,8.409
BP98_2,568,POGR,205,18,C,,10.9,12.244
BP98_2,4293,POGR,,,C,,11.7,8.809
BP98_2,4299,POGR,215,5,D,,12.1,9.951
RP97_1,,POGR,,,C,,11.2,4.181
RP97_1,,POGR,,,C,,12.5,2.116
RP97_2,,POGR,,,C,,20.3,12.726
RP97_2,,POGR,,,C,,9.5,3.904
RP97_3,,POGR,,,D,,22.4,4.187
RP97_3,,POGR,,,D,,14.6,2.202
RP97_3,,POGR,,,D,,21.2,4.988
RP97_3,,POGR,,,D,,15.3,2.627
RP32_1,,POGR,,,D,,34.9,10.172
RP32_1,,POGR,,,C,,28.7,6.223
RP32_2,,POGR,,,C,,35.6,9.052
RP32_2,,POGR,,,C,,26.5,5.047
RP32_3,,POGR,,,C,,33.4,3.997
RP32_3,,POGR,,,C,,20.3,2.347
AC103,1348,QURU,246,14.5,O,15,15.4,3.086
AC103,1350,QURU,236,9,D,33.5,34.9,5.958
AC103,1369,QURU,156,11.5,D,34,35.1,7.103
AC103,1387,QURU,68,11,D,38.6,37.5,4.382
AC103,1388,QURU,67,11,D,31.6,30.6,7.531
AC104,1317,QURU,50,7,O,16,16.9,1.527
AC104,1292,QURU,155,10,D,36.1,36.4,6.049
AC104,1263,QURU,312,11.5,C,23,24.2,3.051
BF7,1575,QURU,285,7,C,14.3,14,3.452
BF7,1580,QURU,280,14,O,18.8,15.2,1.608
BF7,1581,QURU,350,5,C,26,26.7,6.955
BF7,1692,QURU,245,12,D,23,24,6.65
BF7,1723,QURU,140,13,C,21.7,22,4.527
BF7,1757,QURU,30,14.5,C,19.2,19.8,7.262
BF7,1768,QURU,10,15,D,24.6,24.5,7.176
BF8,1406,QURU,15,17.58,O,17.6,17.7,5.246
BF8,1793,QURU,295,14,D,24.2,24.9,6.14
BF8,1806,QURU,260,11.5,O,15.2,15.5,2.016
BF8,1813,QURU,245,15.5,C,21,21.7,3.972
BF8,1840,QURU,140,10.5,C,20,21.3,5.153
BF8,1851,QURU,100,15,C,19.4,20.2,5.898
BF8,1866,QURU,55,16,O,18.4,19.4,5.294
BP54#1,2018,QURU,287,12,C,22.2,23.2,3.785
BP54#1,2501,QURU,59,11.5,C,22.2,24.3,7.126
BP54#1,3068,QURU,204,15,C,30.3,31.3,10.989
BP54#2,3017,QURU,170,17.5,C,18.5,19.4,5.613
BP54#2,3182,QURU,131,13.5,C,17.7,17.4,1.489
BP54#2,3212,QURU,51,10,C,13.4,13.7,3.229
BP54#2,3243,QURU,325,14,C,25.5,26.7,4.904
BP54#2,3016,QURU,165,17.5,C,23.2,23.8,6.356
BP54#2,3031,QURU,196,11.5,C,22.1,22.9,7.105
BP98#1,576,QURU,227,2.5,C,9.4,10.2,7.268
BS40X,2934,QURU,118,6.5,C,41.1,40.6,5.661
BS40X,2981,QURU,340,9.5,C,37.1,37.2,5.704
CP1,1005,QURU,116,8,D,78,79.8,14.691
CP1,1499,QURU,167,15,C,53.7,53.9,4.299
CP2,1473,QURU,38,7.5,C,49,48.2,5.886
CP2,1474,QURU,34,8.5,C,77.1,78.6,11.175
CP3,1421,QURU,242,2,C,59,59.9,17.477
CP3,1440,QURU,71,15,C,64.7,64.2,6.972
CP3,1443,QURU,55,8,C,63.7,63.9,6.15
CP3,1445,QURU,54,6,D,77.2,76,12.278
CP3,1880,QURU,284,5.5,C,45.1,46.9,3.755
DNR1,2396,QURU,120,13,C,23.1,23.4,20.511
DNR1,2426,QURU,145,10.5,C,12.3,13.3,9.615
DNR1,2457,QURU,295,9,C,10.2,10.1,7.065
DNR1,2466,QURU,285,13.5,C,13.5,14.7,14.339
DNR2,2110,QURU,190,12,C,18.9,19.8,10.709
DNR2,2123,QURU,190,12,C,21.8,23,12.367
DNR3,2281,QURU,250,15.5,C,11.5,12.7,6.557
DNR3,2300,QURU,115,13,C,12.1,13,14.641
PSA1,2817,QURU,105,11,C,20.3,22.5,12.947
PSA1,3447,QURU,255,8,C,15.3,15.7,8.334
PSA2,2558,QURU,330,12,C,33.2,33,14.542
PSA2,2561,QURU,320,12,C,19.5,20.9,11.094
PSA2,2585,QURU,15,10,C,10.5,10.8,
PSA3,1560,QURU,295,17.5,D,19.9,21.7,10.256
PSA3,1572,QURU,345,15.5,O,11.9,12,
BP98_2,,QURU,,,C,,10.1,7.306
BP98_2,3146,QURU,219,10.5,D,,11.2,
RP47_1,,QURU,,,I,,27.2,3.188
RP47_1,,QURU,,,C,,34.3,3.308
RP47_2,,QURU,,,C,,27.2,3.631
RP47_2,,QURU,,,C,,20.9,1.78
RP47_3,,QURU,,,I,,22.2,2.015
RP47_3,,QURU,,,C,,28.2,3.439
RP32_1,,QURU,,,C,,30,4.929
RP32_1,,QURU,,,C,,26.1,5.364
CP1,1493,TSCA,228,10,C,92,93.4,6.109
CP1,1492,TSCA,250,6,O,32.7,32.6,1.571
CP1,1491,TSCA,254,4,C,75.3,74.9,4.027
CP1,1486,TSCA,286,4,C,71,69.6,6.201
CP2,1896,TSCA,273,4,C,68.1,65.2,13.351
CP2,1900,TSCA,324,14.5,D,87.8,89.9,6.451
CP2,1456,TSCA,164,13,O,11.8,12.7,6.731
CP2,1898,TSCA,289,12.5,O,12.8,13.8,
CP3,1422,TSCA,177,11.5,C,53.1,54.1,6.845
CP3,1429,TSCA,130,10,O,8,7.7,
